기간,소갈비평균,소갈비최고가,소갈비최저
2011-01-03,6925,7000,6850
2011-01-04,6925,7000,6850
2011-01-05,6925,7000,6850
2011-01-06,6925,7000,6850
2011-01-07,6925,7000,6850
2011-01-10,6925,7000,6850
2011-01-11,6925,7000,6850
2011-01-12,6925,7000,6850
2011-01-13,6925,7000,6850
2011-01-14,6925,7000,6850
2011-01-17,6925,7000,6850
2011-01-18,6925,7000,6850
2011-01-19,6925,7000,6850
2011-01-20,6925,7000,6850
2011-01-21,6925,7000,6850
2011-01-24,6925,7000,6850
2011-01-25,6925,7000,6850
2011-01-26,6925,7000,6850
2011-01-27,6600,7000,6200
2011-01-28,6600,7000,6200
2011-01-31,6943,7000,6850
2011-02-01,6943,7000,6850
2011-02-07,6610,7000,5980
2011-02-08,6490,7000,5980
2011-02-09,6490,7000,5980
2011-02-10,6925,7000,6850
2011-02-11,6925,7000,6850
2011-02-14,6925,7000,6850
2011-02-15,6925,7000,6850
2011-02-16,6925,7000,6850
2011-02-17,6925,7000,6850
2011-02-18,6925,7000,6850
2011-02-21,6925,7000,6850
2011-02-22,6425,7000,5850
2011-02-23,6425,7000,5850
2011-02-24,6425,7000,5850
2011-02-25,6425,7000,5850
2011-02-28,6425,7000,5850
2011-03-02,6425,7000,5850
2011-03-03,5490,7000,3980
2011-03-04,5490,7000,3980
2011-03-07,5490,7000,3980
2011-03-08,5490,7000,3980
2011-03-09,5490,7000,3980
2011-03-10,5490,7000,3980
2011-03-11,5490,7000,3980
2011-03-14,6425,7000,5850
2011-03-15,6425,7000,5850
2011-03-16,6425,7000,5850
2011-03-17,6425,7000,5850
2011-03-18,6425,7000,5850
2011-03-21,6767,7450,5850
2011-03-22,6767,7450,5850
2011-03-23,6767,7450,5850
2011-03-24,6767,7450,5850
2011-03-25,6767,7450,5850
2011-03-28,6767,7450,5850
2011-03-29,6767,7450,5850
2011-03-30,6767,7450,5850
2011-03-31,6767,7450,5850
2011-04-01,6767,7450,5850
2011-04-04,6767,7450,5850
2011-04-05,6767,7450,5850
2011-04-06,6267,7450,5500
2011-04-07,5317,5850,4600
2011-04-08,5317,5850,4600
2011-04-11,5317,5850,4600
2011-04-12,5317,5850,4600
2011-04-13,5675,5850,5500
2011-04-14,5675,5850,5500
2011-04-15,5675,5850,5500
2011-04-18,5675,5850,5500
2011-04-19,5675,5850,5500
2011-04-20,5675,5850,5500
2011-04-21,5675,5850,5500
2011-04-22,5675,5850,5500
2011-04-25,5675,5850,5500
2011-04-26,5675,5850,5500
2011-04-27,5475,5500,5450
2011-04-28,5475,5500,5450
2011-04-29,5475,5500,5450
2011-05-02,5475,5500,5450
2011-05-03,5475,5500,5450
2011-05-04,4740,5500,3980
2011-05-06,4740,5500,3980
2011-05-09,4740,5500,3980
2011-05-11,4740,5500,3980
2011-05-12,4740,5500,3980
2011-05-13,4740,5500,3980
2011-05-16,4740,5500,3980
2011-05-17,4537,5500,3980
2011-05-18,4453,5500,3980
2011-05-19,4578,6000,3980
2011-05-20,4462,6000,3980
2011-05-23,4462,6000,3980
2011-05-24,4462,6000,3980
2011-05-25,4462,6000,3980
2011-05-26,4462,6000,3980
2011-05-27,4462,6000,3980
2011-05-30,4642,6000,4000
2011-05-31,4642,6000,4000
2011-06-01,4642,6000,4000
2011-06-02,4642,6000,4000
2011-06-03,4642,6000,4000
2011-06-07,4642,6000,4000
2011-06-08,4642,6000,4000
2011-06-09,4642,6000,4000
2011-06-10,4642,6000,4000
2011-06-13,4642,6000,4000
2011-06-14,4642,6000,4000
2011-06-15,4642,6000,4000
2011-06-16,4642,6000,4000
2011-06-17,4642,6000,4000
2011-06-20,4642,6000,4000
2011-06-21,4642,6000,4000
2011-06-22,4642,6000,4000
2011-06-23,4642,6000,4000
2011-06-24,4642,6000,4000
2011-06-27,4642,6000,4000
2011-06-28,4642,6000,4000
2011-06-29,4642,6000,4000
2011-06-30,4642,6000,4000
2011-07-01,4642,6000,4000
2011-07-04,4642,6000,4000
2011-07-05,4642,6000,4000
2011-07-06,4642,6000,4000
2011-07-07,4642,6000,4000
2011-07-08,4642,6000,4000
2011-07-11,4642,6000,4000
2011-07-12,4642,6000,4000
2011-07-13,4642,6000,4000
2011-07-14,4642,6000,4000
2011-07-15,4642,6000,4000
2011-07-18,4642,6000,4000
2011-07-19,4642,6000,4000
2011-07-20,5018,6900,4000
2011-07-21,5018,6900,4000
2011-07-22,5018,6900,4000
2011-07-25,5015,6900,4000
2011-07-26,4638,5980,4000
2011-07-27,4638,5980,4000
2011-07-28,4638,5980,4000
2011-07-29,4638,5980,4000
2011-08-01,4415,5980,3300
2011-08-02,4415,5980,3300
2011-08-03,4415,5980,3300
2011-08-04,4415,5980,3300
2011-08-05,4415,5980,3300
2011-08-08,4415,5980,3300
2011-08-09,4770,6900,3300
2011-08-10,4770,6900,3300
2011-08-11,4770,6900,3300
2011-08-12,4415,5980,3300
2011-08-16,4415,5980,3300
2011-08-17,4415,5980,3300
2011-08-18,4770,6900,3300
2011-08-19,4770,6900,3300
2011-08-22,4859,6900,3300
2011-08-23,4859,6900,3300
2011-08-24,4859,6900,3300
2011-08-25,4859,6900,3300
2011-08-26,4859,6900,3300
2011-08-29,4801,6900,3300
2011-08-30,4801,6900,3300
2011-08-31,4801,6900,3300
2011-09-01,4801,6900,3300
2011-09-02,4359,5980,3300
2011-09-05,4689,5980,3300
2011-09-06,4689,5980,3300
2011-09-07,4689,5980,3300
2011-09-08,4826,6900,3300
2011-09-09,4826,6900,3300
2011-09-14,4826,6900,3300
2011-09-15,4452,5980,3300
2011-09-16,4452,5980,3300
2011-09-19,4452,5980,3300
2011-09-20,4452,5980,3300
2011-09-21,4335,5980,3300
2011-09-22,4701,6900,3300
2011-09-23,4701,6900,3300
2011-09-26,4701,6900,3300
2011-09-27,4644,6500,3300
2011-09-28,4644,6500,3300
2011-09-29,4644,6500,3300
2011-09-30,4644,6500,3300
2011-10-04,4644,6500,3300
2011-10-05,4644,6500,3300
2011-10-06,4644,6500,3300
2011-10-07,4644,6500,3300
2011-10-10,4359,6500,3300
2011-10-11,4359,6500,3300
2011-10-12,4359,6500,3300
2011-10-13,4359,6500,3300
2011-10-14,4359,6500,3300
2011-10-17,4359,6500,3300
2011-10-18,4359,6500,3300
2011-10-19,4359,6500,3300
2011-10-20,4359,6500,3300
2011-10-21,4359,6500,3300
2011-10-24,4359,6500,3300
2011-10-25,4359,6500,3300
2011-10-26,4359,6500,3300
2011-10-27,4359,6500,3300
2011-10-28,4359,6500,3300
2011-10-31,4359,6500,3300
2011-11-01,4359,6500,3300
2011-11-02,4359,6500,3300
2011-11-03,4359,6500,3300
2011-11-04,4359,6500,3300
2011-11-07,4359,6500,3300
2011-11-08,4359,6500,3300
