구분,평균,평년
2001-01-02,"136,000","111,862"
2001-01-03,"136,000","111,946"
2001-01-04,"136,000","112,004"
2001-01-05,"136,000","119,776"
2001-01-06,"136,000","121,201"
2001-01-08,"136,000","121,533"
2001-01-09,"136,000","121,686"
2001-01-10,"136,000","121,995"
2001-01-11,"136,000","122,078"
2001-01-12,"136,000","122,468"
2001-01-13,"136,000","123,079"
2001-01-15,"136,000","124,307"
2001-01-16,"136,000","124,729"
2001-01-17,"136,000","125,082"
2001-01-18,"136,000","125,174"
2001-01-19,"136,000","125,362"
2001-01-20,"136,000","125,761"
2001-01-22,"136,000","126,748"
2001-01-26,"136,000","127,738"
2001-01-27,"136,000","127,875"
2001-01-29,"136,000","127,879"
2001-01-30,"136,000","127,943"
2001-01-31,"136,000","128,157"
2001-02-01,"136,000","128,239"
2001-02-02,"136,000","128,576"
2001-02-03,"136,000","129,024"
2001-02-05,"137,000","129,862"
2001-02-06,"137,000","130,167"
2001-02-07,"137,000","130,246"
2001-02-08,"137,000","130,258"
2001-02-09,"137,000","130,208"
2001-02-10,"137,000","130,190"
2001-02-12,"137,000","130,138"
2001-02-13,"137,000","130,043"
2001-02-14,"137,000","129,990"
2001-02-15,"137,000","129,942"
2001-02-16,"137,000","129,938"
2001-02-17,"137,000","129,905"
2001-02-19,"137,000","129,943"
2001-02-20,"137,000","129,933"
2001-02-21,"137,000","129,926"
2001-02-22,"137,000","129,937"
2001-02-23,"137,000","129,965"
2001-02-24,"137,000","130,032"
2001-02-26,"137,000","130,095"
2001-02-27,"137,000","130,186"
2001-02-28,"137,000","130,246"
2001-03-02,"137,000","130,198"
2001-03-03,"137,000","130,254"
2001-03-05,"137,000","129,476"
2001-03-06,"137,000","129,333"
2001-03-07,"137,000","129,187"
2001-03-08,"137,000","129,123"
2001-03-09,"137,000","129,014"
2001-03-10,"137,000","128,894"
2001-03-12,"137,000","128,591"
2001-03-13,"137,000","128,404"
2001-03-14,"137,000","128,289"
2001-03-15,"137,000","128,190"
2001-03-16,"137,000","128,097"
2001-03-17,"137,000","127,944"
2001-03-19,"137,000","127,560"
2001-03-20,"137,000","127,364"
2001-03-21,"137,000","127,169"
