구분,평균,평년
2020-01-02,"310,000","302,773"
2020-01-03,"310,000","302,800"
2020-01-06,"310,000","303,200"
2020-01-07,"310,000","303,200"
2020-01-08,"310,000","303,200"
2020-01-09,"310,000","303,200"
2020-01-10,"310,000","303,200"
2020-01-13,"310,000","302,933"
2020-01-14,"310,000","302,800"
2020-01-15,"310,000","302,667"
2020-01-16,"310,000","302,533"
2020-01-17,"310,000","302,533"
2020-01-20,"310,000","302,667"
2020-01-21,"310,000","302,867"
2020-01-22,"310,000","302,840"
2020-01-23,"310,000","302,813"
2020-01-28,"310,000","303,067"
2020-01-29,"310,000","302,933"
2020-01-30,"310,000","302,800"
2020-01-31,"310,000","302,733"
2020-02-03,"310,000","302,533"
2020-02-04,"310,000","302,400"
2020-02-05,"310,000","302,400"
2020-02-06,"310,000","302,400"
2020-02-07,"310,000","302,533"
2020-02-10,"310,000","302,933"
2020-02-11,"306,000","303,067"
2020-02-12,"306,000","303,067"
2020-02-13,"306,000","302,987"
2020-02-14,"306,000","302,907"
2020-02-17,"306,000","302,767"
2020-02-18,"306,000","302,747"
2020-02-19,"306,000","302,667"
2020-02-20,"306,000","303,067"
2020-02-21,"310,000","303,107"
2020-02-24,"310,000","303,317"
2020-02-25,"310,000","303,317"
2020-02-26,"306,667","303,227"
2020-02-27,"306,667","302,867"
2020-02-28,"306,667","302,867"
2020-03-02,"310,000","302,867"
2020-03-03,"310,000","302,867"
2020-03-04,"310,000","303,000"
2020-03-05,"310,000","303,133"
2020-03-06,"310,000","303,267"
2020-03-09,"305,000","303,533"
2020-03-10,"305,000","303,533"
2020-03-11,"305,000","303,533"
2020-03-12,"305,000","303,533"
2020-03-13,"305,000","303,533"
2020-03-16,"305,000","303,533"
2020-03-17,"302,200","303,533"
2020-03-18,"302,200","303,533"
2020-03-19,"302,200","303,533"
2020-03-20,"302,200","303,533"
2020-03-23,"302,200","303,533"
2020-03-24,"302,200","303,533"
2020-03-25,"302,200","303,533"
2020-03-26,"302,200","303,533"
2020-03-27,"302,200","303,533"
2020-03-30,"302,200","303,533"
2020-03-31,"306,200","303,533"
2020-04-01,"306,200","303,533"
2020-04-02,"306,200","303,533"
2020-04-03,"306,200","303,533"
2020-04-06,"306,200","303,400"
2020-04-07,"306,200","303,267"
2020-04-08,"306,200","303,133"
2020-04-09,"306,200","303,000"
2020-04-10,"306,200","302,853"
2020-04-13,"306,200","302,813"
2020-04-14,"306,200","302,800"
2020-04-16,"306,200","302,800"
2020-04-17,"305,000","302,933"
2020-04-20,"305,000","303,300"
2020-04-21,"305,000","303,300"
2020-04-22,"305,000","303,333"
2020-04-23,"305,000","303,467"
2020-04-24,"305,000","303,467"
2020-04-27,"305,000","303,733"
2020-04-28,"305,000","304,000"
2020-04-29,"305,000","304,267"
2020-05-04,"305,000","304,733"
2020-05-06,"305,000","304,667"
2020-05-07,"305,000","304,600"
2020-05-08,"305,000","304,533"
2020-05-11,"305,000","304,467"
2020-05-12,"305,000","304,467"
2020-05-13,"305,000","304,467"
2020-05-14,"305,000","304,467"
2020-05-15,"305,000","304,400"
2020-05-18,"305,000","304,200"
2020-05-19,"305,000","304,133"
2020-05-20,"305,000","304,133"
2020-05-21,"309,000","304,133"
2020-05-22,"309,000","304,133"
2020-05-25,"309,000","304,133"
2020-05-26,"309,000","304,133"
2020-05-27,"309,000","304,133"
2020-05-28,"309,000","304,133"
2020-05-29,"309,000","304,133"
2020-06-01,"309,000","303,520"
2020-06-02,"309,000","303,367"
2020-06-03,"309,000","303,367"
2020-06-04,"315,000","303,213"
2020-06-05,"315,000","302,907"
2020-06-08,"315,000","301,747"
2020-06-09,"315,000","301,533"
2020-06-10,"315,000","301,440"
2020-06-11,"315,000","301,000"
2020-06-12,"315,000","300,347"
2020-06-15,"315,000","299,873"
2020-06-16,"315,000","299,840"
2020-06-17,"315,000","300,020"
2020-06-18,"315,000","300,187"
2020-06-19,"314,600","300,293"
2020-06-22,"315,200","301,267"
2020-06-23,"315,200","301,933"
2020-06-24,"315,200","302,600"
2020-06-25,"317,200","303,183"
2020-06-26,"317,200","303,130"
2020-06-29,"317,200","303,587"
2020-06-30,"319,200","303,617"
2020-07-01,"319,200","303,883"
2020-07-02,"319,200","303,767"
2020-07-03,"319,200","303,567"
2020-07-06,"319,400","303,533"
2020-07-07,"320,200","303,667"
2020-07-08,"320,200","303,667"
2020-07-09,"320,200","303,160"
2020-07-10,"320,200","302,653"
2020-07-13,"320,800","301,133"
2020-07-14,"321,600","301,133"
2020-07-15,"321,600","301,133"
2020-07-16,"321,600","301,133"
2020-07-17,"321,600","301,133"
2020-07-20,"321,600","301,133"
2020-07-21,"321,600","301,000"
2020-07-22,"321,600","300,867"
2020-07-23,"321,600","300,800"
2020-07-24,"321,600","300,800"
2020-07-27,"321,600","300,467"
2020-07-28,"321,000","300,467"
2020-07-29,"321,000","300,467"
2020-07-30,"321,000","300,400"
2020-07-31,"321,000","300,333"
2020-08-03,"321,000","300,053"
2020-08-04,"321,000","300,033"
2020-08-05,"321,000","300,033"
2020-08-06,"321,000","299,973"
2020-08-07,"321,000","300,067"
2020-08-10,"321,000","301,147"
2020-08-11,"321,000","301,500"
2020-08-12,"321,000","301,500"
2020-08-13,"321,000","301,640"
2020-08-14,"321,000","301,973"
2020-08-18,"321,600","303,457"
2020-08-19,"321,600","303,470"
2020-08-20,"321,600","303,720"
2020-08-21,"327,600","304,373"
2020-08-24,"327,600","305,700"
2020-08-25,"327,600","306,000"
2020-08-26,"327,600","305,900"
2020-08-27,"327,600","305,827"
2020-08-28,"327,600","305,880"
2020-08-31,"327,600","307,000"
2020-09-01,"329,000","307,700"
2020-09-02,"329,000","308,247"
2020-09-03,"329,000","308,963"
2020-09-04,"329,000","309,163"
2020-09-07,"329,000","310,067"
2020-09-08,"329,000","310,133"
2020-09-09,"329,000","310,133"
2020-09-10,"329,000","310,133"
2020-09-11,"329,000","310,267"
2020-09-14,"330,200","310,667"
2020-09-15,"331,800","310,800"
2020-09-16,"331,800","310,533"
2020-09-17,"331,800","310,267"
2020-09-18,"335,200","310,000"
2020-09-21,"335,200","311,453"
2020-09-22,"337,200","311,950"
2020-09-23,"337,200","311,950"
2020-09-24,"337,200","312,083"
2020-09-25,"339,200","312,217"
2020-09-28,"339,200","314,147"
2020-09-29,"339,200","315,150"
2020-10-05,"339,200","314,960"
2020-10-06,"339,200","315,067"
2020-10-07,"339,200","315,067"
2020-10-08,"339,200","314,867"
2020-10-12,"347,200","314,800"
2020-10-13,"347,200","315,200"
2020-10-14,"350,600","316,200"
2020-10-15,"350,600","316,400"
2020-10-16,"350,600","316,400"
2020-10-19,"353,400","318,907"
2020-10-20,"353,400","319,617"
2020-10-21,"353,400","319,617"
2020-10-22,"353,400","319,747"
2020-10-23,"353,400","319,920"
2020-10-26,"353,400","320,093"
2020-10-27,"353,400","318,400"
2020-10-28,"354,600","316,600"
2020-10-29,"358,600","316,347"
2020-10-30,"358,600","314,853"
2020-11-02,"358,600","304,680"
2020-11-03,"365,400","304,777"
2020-11-04,"380,600","304,910"
2020-11-05,"391,600","307,667"
2020-11-06,"412,000","306,707"
2020-11-09,"412,000","318,947"
2020-11-10,"414,800","323,317"
2020-11-11,"416,800","328,050"
2020-11-12,"416,800","329,987"
2020-11-13,"422,800","329,147"
2020-11-16,"422,800","334,933"
2020-11-17,"431,000","337,567"
2020-11-18,"431,000","338,017"
2020-11-19,"431,000","338,840"
2020-11-20,"433,200","340,213"
2020-11-23,"437,200","344,067"
2020-11-24,"437,200","344,567"
2020-11-25,"441,500","344,833"
2020-11-26,"441,500","345,200"
2020-11-27,"441,500","345,667"
2020-11-30,"441,500","346,340"
2020-12-01,"444,750","346,900"
2020-12-02,"444,750","346,533"
2020-12-03,"444,750","345,813"
2020-12-07,"444,750","346,533"
2020-12-08,"444,750","347,600"
2020-12-09,"444,750","348,083"
2020-12-10,"444,750","348,083"
2020-12-11,"444,750","348,400"
2020-12-14,"444,750","351,387"
2020-12-15,"444,750","352,167"
2020-12-16,"444,750","352,850"
2020-12-17,"444,750","352,710"
2020-12-18,"444,750","351,507"
2020-12-21,"444,750","349,267"
2020-12-22,"444,750","349,533"
2020-12-23,"444,750","349,467"
2020-12-24,"444,750","348,267"
2020-12-28,"444,750","347,787"
2020-12-29,"444,750","347,633"
2020-12-30,"444,750","347,633"
2020-12-31,"444,750","347,613"
