"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		140",군산,12-Jan,-1.1,3.1,8.4,2012-01-17,-4.7,-10,2012-01-26
"		140",군산,12-Feb,-0.7,4,12.9,2012-02-22,-5.1,-11.2,2012-02-02
"		140",군산,12-Mar,4.7,8.8,20.4,2012-03-29,0.7,-4.4,2012-03-12
"		140",군산,12-Apr,11.7,17.2,29.2,2012-04-24,6.4,0.3,2012-04-05
"		140",군산,12-May,17.7,23.4,27.4,2012-05-29,13.6,10.2,2012-05-06
"		140",군산,12-Jun,22.4,27.4,30.8,2012-06-25,18.7,13.9,2012-06-03
"		140",군산,12-Jul,25.2,29.1,33.4,2012-07-31,22.2,19.6,2012-07-12
"		140",군산,12-Aug,26.7,30.8,36.1,2012-08-05,23.6,17.2,2012-08-31
"		140",군산,12-Sep,20.3,24.2,29.2,2012-09-03,16.9,12.3,2012-09-30
"		140",군산,12-Oct,14.7,20.1,24.4,2012-10-03,9.8,4.1,2012-10-31
"		140",군산,12-Nov,7.1,11.3,17.6,2012-11-10,3.1,-2.4,2012-11-25
"		140",군산,12-Dec,-1.6,2.3,8.7,2012-12-15,-5.5,-11.5,2012-12-26
"		140",군산,13-Jan,-1.8,2.4,13.2,2013-01-31,-6.2,-13.5,2013-01-03
"		140",군산,13-Feb,0.2,4.5,18.5,2013-02-28,-4,-12.3,2013-02-08
"		140",군산,13-Mar,4.8,10.9,26.1,2013-03-09,-0.5,-4.3,2013-03-21
"		140",군산,13-Apr,9.1,14.9,27,2013-04-16,3.9,0,2013-04-15
"		140",군산,13-May,16.6,22.3,29.1,2013-05-25,11.7,5.8,2013-05-01
"		140",군산,13-Jun,22.3,27.2,31.1,2013-06-09,18.7,13.6,2013-06-02
"		140",군산,13-Jul,26.3,29.9,33.4,2013-07-20,23.6,20.8,2013-07-01
"		140",군산,13-Aug,27.3,31.6,34.9,2013-08-07,23.9,18.3,2013-08-31
"		140",군산,13-Sep,21.4,26.2,30.9,2013-09-18,17.6,9.6,2013-09-27
