구분,국산배추,
2001-01-02,"2,080",
2001-01-03,"2,100",
2001-01-04,"2,160",
2001-01-05,"2,140",
2001-01-06,"2,120",
2001-01-08,"2,280",
2001-01-09,"2,240",
2001-01-10,"2,200",
2001-01-11,"2,200",
2001-01-12,"2,200",
2001-01-13,"2,200",
2001-01-15,"2,340",
2001-01-16,"2,460",
2001-01-17,"2,600",
2001-01-18,"2,760",
2001-01-19,"2,980",
2001-01-20,"3,380",
2001-01-22,"3,280",
2001-01-26,"3,280",
2001-01-27,"3,220",
2001-01-29,"2,940",
2001-01-30,"2,780",
2001-01-31,"2,760",
2001-02-01,"2,840",
2001-02-02,"2,780",
2001-02-03,"2,880",
2001-02-05,"2,780",
2001-02-06,"2,780",
2001-02-07,"2,820",
2001-02-08,"2,820",
2001-02-09,"2,820",
2001-02-10,"2,820",
2001-02-12,"2,820",
2001-02-13,"2,760",
2001-02-14,"2,760",
2001-02-15,"2,720",
2001-02-16,"2,760",
2001-02-17,"2,760",
2001-02-19,"2,720",
2001-02-20,"2,720",
2001-02-21,"2,720",
2001-02-22,"2,780",
2001-02-23,"2,820",
2001-02-24,"2,820",
2001-02-26,"3,000",
2001-02-27,"3,100",
2001-02-28,"3,120",
2001-03-02,"3,300",
2001-03-03,"3,280",
2001-03-05,"3,280",
2001-03-06,"3,220",
2001-03-07,"3,160",
2001-03-08,"3,160",
2001-03-09,"3,060",
2001-03-10,"3,060",
2001-03-12,"3,040",
2001-03-13,"3,160",
2001-03-14,"3,240",
2001-03-15,"3,260",
2001-03-16,"3,280",
2001-03-17,"3,320",
2001-03-19,"3,380",
2001-03-20,"3,360",
2001-03-21,"3,520",
2001-03-22,"3,540",
2001-03-23,"3,520",
2001-03-24,"3,580",
2001-03-26,"4,020",
2001-03-27,"4,280",
2001-03-28,"4,440",
2001-03-29,"4,440",
2001-03-30,"4,520",
2001-03-31,"4,620",
2001-04-02,"4,460",
2001-04-03,"4,460",
2001-04-04,"4,367",
2001-04-06,"4,411",
2001-04-07,"4,411",
2001-04-09,"4,290",
2001-04-10,"4,230",
2001-04-11,"4,210",
2001-04-12,"4,190",
2001-04-13,"4,150",
