구분,국산팥(40kg)
2001-01-02,"136,000"
2001-01-03,"136,000"
2001-01-04,"136,000"
2001-01-05,"136,000"
2001-01-06,"136,000"
2001-01-08,"136,000"
2001-01-09,"136,000"
2001-01-10,"136,000"
2001-01-11,"136,000"
2001-01-12,"136,000"
2001-01-13,"136,000"
2001-01-15,"136,000"
2001-01-16,"136,000"
2001-01-17,"136,000"
2001-01-18,"136,000"
2001-01-19,"136,000"
2001-01-20,"136,000"
2001-01-22,"136,000"
2001-01-26,"136,000"
2001-01-27,"136,000"
2001-01-29,"136,000"
2001-01-30,"136,000"
2001-01-31,"136,000"
2001-02-01,"136,000"
2001-02-02,"136,000"
2001-02-03,"136,000"
2001-02-05,"137,000"
2001-02-06,"137,000"
2001-02-07,"137,000"
2001-02-08,"137,000"
2001-02-09,"137,000"
2001-02-10,"137,000"
2001-02-12,"137,000"
2001-02-13,"137,000"
2001-02-14,"137,000"
2001-02-15,"137,000"
2001-02-16,"137,000"
2001-02-17,"137,000"
2001-02-19,"137,000"
2001-02-20,"137,000"
2001-02-21,"137,000"
2001-02-22,"137,000"
2001-02-23,"137,000"
2001-02-24,"137,000"
2001-02-26,"137,000"
2001-02-27,"137,000"
2001-02-28,"137,000"
2001-03-02,"137,000"
2001-03-03,"137,000"
2001-03-05,"137,000"
2001-03-06,"137,000"
2001-03-07,"137,000"
2001-03-08,"137,000"
2001-03-09,"137,000"
2001-03-10,"137,000"
2001-03-12,"137,000"
2001-03-13,"137,000"
2001-03-14,"137,000"
2001-03-15,"137,000"
2001-03-16,"137,000"
2001-03-17,"137,000"
2001-03-19,"137,000"
2001-03-20,"137,000"
2001-03-21,"137,000"
2001-03-22,"137,000"
2001-03-23,"137,000"
2001-03-24,"137,000"
2001-03-26,"137,000"
2001-03-27,"137,000"
2001-03-28,"137,000"
2001-03-29,"137,000"
2001-03-30,"137,000"
2001-03-31,"137,000"
2001-04-02,"137,000"
2001-04-03,"137,000"
2001-04-04,"137,000"
2001-04-06,"137,000"
2001-04-07,"137,000"
2001-04-09,"137,000"
2001-04-10,"137,000"
2001-04-11,"137,000"
2001-04-12,"137,000"
2001-04-13,"137,000"
2001-04-14,"137,000"
2001-04-16,"137,000"
2001-04-17,"137,000"
2001-04-18,"137,000"
2001-04-19,"137,000"
2001-04-20,"137,000"
2001-04-21,"137,000"
2001-04-23,"137,000"
2001-04-24,"137,000"
2001-04-25,"137,000"
2001-04-26,"137,000"
2001-04-27,"137,000"
2001-04-28,"137,000"
