? ì§œ,WTI,Brent,Dubai,¸Þ¹Ð Æò±Õ°ª,
2004-01-02,N.A,30.22,28.2,920,
,,,,920,
2004-01-05,N.A,31.04,28.22,920,
2004-01-06,33.67,31.41,29.01,920,
2004-01-07,33.6,31.14,28.99,920,
2004-01-08,34.01,31.24,29.01,900,
2004-01-09,34.36,32.16,29.48,900,
,,,,900,
2004-01-12,34.74,32.25,29.46,900,
2004-01-13,34.41,32.48,29.82,900,
2004-01-14,34.5,31.66,29.1,900,
2004-01-15,33.47,31.61,29.3,900,
2004-01-16,35.18,31.42,28.08,900,
,,,,900,
2004-01-19,N.A,31.83,28.99,900,
2004-01-20,35.96,32.19,29.11,900,
,,,,900,
2004-01-26,34.44,31.06,N.A,900,
2004-01-27,34.1,31.17,28.77,900,
2004-01-28,33.61,30.25,28.49,900,
2004-01-29,32.82,29.76,28.27,900,
2004-01-30,33.02,29.72,27.88,900,
,,,,900,
2004-02-02,34.86,29.34,N.A,900,
2004-02-03,34.11,30.21,28.19,900,
2004-02-04,33.11,29.58,27.84,900,
2004-02-05,33.11,29.14,27.17,900,
2004-02-06,32.45,29.3,27.74,900,
,,,,900,
2004-02-09,32.89,29.3,27.42,900,
2004-02-10,33.88,30.04,27.66,900,
2004-02-11,34,30.42,28.34,900,
2004-02-12,33.99,30.31,28.22,900,
2004-02-13,34.67,31.34,28.66,900,
,,,,900,
2004-02-16,N.A,30.84,28.94,900,
2004-02-17,35.24,31.33,28.96,900,
2004-02-18,35.44,31.67,29.58,900,
2004-02-19,35.9,31.55,29.4,900,
2004-02-20,35.63,31.11,29.34,900,
,,,,900,
2004-02-23,35.56,31.68,28.98,900,
2004-02-24,36.04,31.79,29.31,900,
2004-02-25,37.45,32.67,29.12,900,
2004-02-26,35.52,32.82,29.6,900,
2004-02-27,36.11,33.29,29.41,900,
,,,,900,
2004-03-02,36.62,34.31,30.72,900,
2004-03-03,35.76,33.36,30.44,900,
2004-03-04,36.67,33.88,30.08,900,
2004-03-05,37.28,34.32,30.75,900,
,,,,900,
2004-03-08,36.58,34.39,30.95,900,
2004-03-09,36.26,33.79,30.69,900,
2004-03-10,36.11,32.92,30.22,900,
2004-03-11,36.84,33.38,30.29,900,
2004-03-12,36.2,32.98,30.98,900,
,,,,900,
2004-03-15,37.44,34.2,30.4,900,
2004-03-16,37.47,34.15,30.94,900,
2004-03-17,38.18,34.98,31,900,
2004-03-18,37.89,34.72,31.44,900,
2004-03-19,38.04,34.86,31.24,900,
,,,,900,
2004-03-22,37.17,34.05,31.23,900,
2004-03-23,37.7,34.7,31.26,900,
2004-03-24,37.16,34.31,31.86,900,
