,날짜,평균기온(℃),최저기온(℃),최고기온(℃),국산배추
0,2001-01-02,-4.3,-9.1,-0.2,2080
1,2001-01-03,-8.3,-10.4,-5.2,2100
2,2001-01-04,-9.8,-12.5,-6.7,2160
3,2001-01-05,-6.8,-11.0,-2.2,2140
4,2001-01-06,-2.9,-8.8,0.9,2120
5,2001-01-08,2.0,-0.2,4.9,2280
6,2001-01-09,-0.4,-6.0,3.0,2240
7,2001-01-10,-5.0,-9.1,-1.5,2200
8,2001-01-11,-8.0,-14.4,-2.2,2200
9,2001-01-12,-10.7,-15.0,-7.6,2200
10,2001-01-13,-10.2,-15.0,-6.7,2200
11,2001-01-15,-15.5,-18.6,-12.4,2340
12,2001-01-16,-13.4,-16.8,-10.0,2460
13,2001-01-17,-8.4,-15.1,-4.0,2600
14,2001-01-18,-0.9,-4.4,2.5,2760
15,2001-01-19,0.3,-3.3,3.8,2980
16,2001-01-20,0.4,-2.1,3.5,3380
17,2001-01-22,-1.4,-3.9,2.5,3280
18,2001-01-26,1.2,0.0,2.8,3280
19,2001-01-27,0.0,-1.8,1.8,3220
20,2001-01-29,-2.6,-8.0,1.8,2940
21,2001-01-30,-0.5,-2.7,2.6,2780
22,2001-01-31,-0.3,-2.8,1.9,2760
23,2001-02-01,-5.8,-9.1,0.6,2840
24,2001-02-02,-4.9,-10.4,-0.9,2780
25,2001-02-03,0.1,-3.4,3.7,2880
26,2001-02-05,1.5,-2.1,5.7,2780
27,2001-02-06,2.6,-0.7,6.3,2780
28,2001-02-07,-2.6,-8.1,1.7,2820
29,2001-02-08,-4.9,-9.0,-0.8,2820
30,2001-02-09,-0.9,-4.7,4.0,2820
31,2001-02-10,-1.4,-3.8,1.7,2820
32,2001-02-12,-4.2,-6.6,0.0,2820
33,2001-02-13,-3.9,-6.4,-0.1,2760
34,2001-02-14,-3.6,-6.7,-0.1,2760
35,2001-02-15,-3.4,-5.2,0.1,2720
36,2001-02-16,-6.1,-8.6,-3.6,2760
37,2001-02-17,-2.3,-7.0,0.7,2760
38,2001-02-19,3.5,1.3,7.1,2720
39,2001-02-20,4.1,-0.7,9.8,2720
40,2001-02-21,5.9,3.7,9.2,2720
41,2001-02-22,6.4,1.7,12.2,2780
42,2001-02-23,3.5,0.4,6.2,2820
43,2001-02-24,0.0,-2.2,2.3,2820
44,2001-02-26,1.9,-3.1,6.9,3000
45,2001-02-27,3.0,-0.8,8.1,3100
46,2001-02-28,3.4,0.1,8.5,3120
47,2001-03-02,4.2,0.6,8.4,3300
48,2001-03-03,3.4,-0.1,9.3,3280
49,2001-03-05,1.9,-1.8,5.5,3280
50,2001-03-06,3.4,0.5,8.1,3220
