날짜,평균기온(℃),최저기온(℃),최고기온(℃)
2020-08-01,25.3,24.3,26.9
2020-08-02,24.9,23.5,26.4
2020-08-03,25,23.9,26.3
2020-08-04,27,25,29.4
2020-08-05,26.5,25.5,29.1
2020-08-06,24.1,22.9,26
2020-08-07,24.3,22.6,26.1
2020-08-08,24.2,22.7,26.1
2020-08-09,24.9,23.7,25.8
2020-08-10,26.5,24.7,29.5
2020-08-11,24.6,22.4,27.3
2020-08-12,27.2,23.5,31.3
2020-08-13,28,26.3,30.3
2020-08-14,27.1,26.5,28
2020-08-15,26.1,25,27
2020-08-16,27.4,25.3,30.8
2020-08-17,28.2,26.1,32.2
2020-08-18,27.5,24,31.9
2020-08-19,27.1,23.6,31.4
2020-08-20,27.7,25,31.7
2020-08-21,26.6,25.2,29.2
2020-08-22,24.3,21.7,27.6
2020-08-23,25.3,21.5,29.9
2020-08-24,27.8,23.7,32
2020-08-25,29.9,26,34.5
2020-08-26,30.2,27,34.5
2020-08-27,27.1,25.6,28.6
2020-08-28,27.3,26,29.7
2020-08-29,26.8,25.5,29
2020-08-30,26.8,24.4,30.6
2020-08-31,26.4,23.8,30
2020-09-01,26.6,23.8,29.5
2020-09-02,24.3,22.6,26.4
2020-09-03,22.7,20,25.6
2020-09-04,23.3,19.9,27.5
2020-09-05,23.3,19.2,27.3
2020-09-06,21.7,19.5,24.4
2020-09-07,19.2,17.5,20.6
2020-09-08,23.4,20.6,26.5
2020-09-09,21.1,19,25.3
2020-09-10,22.8,18.8,27
2020-09-11,22.4,19.2,27.1
2020-09-12,20.2,18.1,23.2
2020-09-13,21.5,16.7,26.6
2020-09-14,21.3,17.6,24.9
2020-09-15,23,18.9,27.7
2020-09-16,22.5,21.3,24.9
2020-09-17,21.3,20.1,23.6
2020-09-18,21.5,18.1,25.8
2020-09-19,21.2,17.6,26.2
2020-09-20,19.7,15.6,24.9
2020-09-21,19.1,13.6,25.3
2020-09-22,20.2,15.5,25.6
2020-09-23,19.2,15.2,23.8
2020-09-24,20.6,16.8,25.4
2020-09-25,20.1,16.6,25.4
2020-09-26,19.3,14.8,24.8
2020-09-27,20.4,14.9,25.8
2020-09-28,20.7,15.7,26.5
2020-09-29,19.6,15.3,23.9
2020-09-30,19.6,16.2,25.7
2020-10-01,18.8,15.6,23.6
2020-10-02,19.2,16.3,21.9
2020-10-03,19.9,18.3,23.2
2020-10-04,16.6,10.6,21.8
2020-10-05,13.3,8.5,18.4
2020-10-06,14.2,9.3,19.7
2020-10-07,16,9.9,22
2020-10-08,17.2,12.1,23.1
2020-10-09,17.2,12.4,23.3
2020-10-10,16.9,12.3,21.5
2020-10-11,16.9,12.7,20.8
2020-10-12,16.2,12.1,21.3
2020-10-13,13.6,8.6,18.4
2020-10-14,12.8,8.5,18
2020-10-15,11.7,6.5,18.5
2020-10-16,11.8,8.6,15.4
2020-10-17,13.1,8.7,18.6
2020-10-18,13.6,7.2,20.2
2020-10-19,15.1,9.8,21.3
2020-10-20,15.2,9.9,21.7
2020-10-21,14.1,11.8,17.3
2020-10-22,13.5,8.4,18.2
2020-10-23,8.6,5.4,13.3
2020-10-24,8.7,3.2,14
2020-10-25,11.8,5.4,18.2
2020-10-26,12.9,8,19
2020-10-27,14,9,19.4
2020-10-28,13.8,8.6,18.2
2020-10-29,10.8,5.5,16.1
2020-10-30,11.9,5.8,19.6
2020-10-31,13.6,8.5,18.2
2020-11-01,13.7,11.6,15
2020-11-02,10.8,7.9,15.6
2020-11-03,5.1,2.7,8.6
2020-11-04,4.9,0.2,10.8
2020-11-05,9.6,3.4,15.9
2020-11-06,13.5,9.9,17.2
2020-11-07,14.6,12.2,18.1
2020-11-08,8.5,3.1,12.4
2020-11-09,5.5,0.7,8.9
2020-11-10,7.7,3.5,12.9
2020-11-11,9.3,3.5,16.5
2020-11-12,10.4,4.6,17.7
2020-11-13,12.2,8.5,17.6
2020-11-14,12.5,6.8,19.3
2020-11-15,11.1,8.2,14.9
2020-11-16,12.4,7.5,18.3
2020-11-17,15.9,11.7,20
2020-11-18,16.6,14.8,18.7
2020-11-19,13.6,6.9,19.1
2020-11-20,2.8,0.3,7
2020-11-21,6.5,-0.3,12.8
2020-11-22,5.6,1.5,9.1
2020-11-23,1.7,-1.5,5.9
2020-11-24,2.9,0.2,6.4
2020-11-25,4.6,0,9.5
2020-11-26,5.6,1.9,10.9
2020-11-27,4.1,0.6,7.7
2020-11-28,-0.1,-2.3,2.8
2020-11-29,-0.6,-3.6,2.6
2020-11-30,-0.2,-3.6,4.3
2020-12-01,1.1,-3.6,6.7
2020-12-02,2.4,0.5,6.1
2020-12-03,0.7,-2.3,4.2
2020-12-04,-0.6,-4.6,4.4
2020-12-05,2.1,-2.2,6.6
2020-12-06,4.5,1.2,9.1
2020-12-07,3.4,-0.7,6.3
2020-12-08,-0.5,-3.5,4.1
2020-12-09,1.5,-4.1,6.2
2020-12-10,5.8,3.2,9.3
2020-12-11,5.3,2.6,9.4
2020-12-12,2.3,-0.3,6.1
2020-12-13,-1.1,-6,2
2020-12-14,-7.7,-9.7,-5
2020-12-15,-8.3,-11.1,-4.6
2020-12-16,-8.3,-11.2,-3.9
2020-12-17,-4.9,-11.1,0.8
2020-12-18,-2.1,-6.4,1.8
2020-12-19,-5.1,-9.6,-1.2
2020-12-20,-3.7,-8.2,1.1
2020-12-21,-1,-6,4.7
2020-12-22,2,-2.5,7.2
2020-12-23,4.5,-0.4,8.5
